,date,state,fips,cases,deaths,1st_day,day
0,2020-01-21,Washington,53,1,0,2020-01-21,0
1,2020-01-22,Washington,53,1,0,2020-01-21,1
2,2020-01-23,Washington,53,1,0,2020-01-21,2
3,2020-01-24,Illinois,17,1,0,2020-01-24,0
4,2020-01-24,Washington,53,1,0,2020-01-21,3
5,2020-01-25,California,6,1,0,2020-01-25,0
6,2020-01-25,Illinois,17,1,0,2020-01-24,1
7,2020-01-25,Washington,53,1,0,2020-01-21,4
8,2020-01-26,Arizona,4,1,0,2020-01-26,0
9,2020-01-26,California,6,2,0,2020-01-25,1
10,2020-01-26,Illinois,17,1,0,2020-01-24,2
11,2020-01-26,Washington,53,1,0,2020-01-21,5
12,2020-01-27,Arizona,4,1,0,2020-01-26,1
13,2020-01-27,California,6,2,0,2020-01-25,2
14,2020-01-27,Illinois,17,1,0,2020-01-24,3
15,2020-01-27,Washington,53,1,0,2020-01-21,6
16,2020-01-28,Arizona,4,1,0,2020-01-26,2
17,2020-01-28,California,6,2,0,2020-01-25,3
18,2020-01-28,Illinois,17,1,0,2020-01-24,4
19,2020-01-28,Washington,53,1,0,2020-01-21,7
20,2020-01-29,Arizona,4,1,0,2020-01-26,3
21,2020-01-29,California,6,2,0,2020-01-25,4
22,2020-01-29,Illinois,17,1,0,2020-01-24,5
23,2020-01-29,Washington,53,1,0,2020-01-21,8
24,2020-01-30,Arizona,4,1,0,2020-01-26,4
25,2020-01-30,California,6,2,0,2020-01-25,5
26,2020-01-30,Illinois,17,2,0,2020-01-24,6
27,2020-01-30,Washington,53,1,0,2020-01-21,9
28,2020-01-31,Arizona,4,1,0,2020-01-26,5
29,2020-01-31,California,6,3,0,2020-01-25,6
30,2020-01-31,Illinois,17,2,0,2020-01-24,7
31,2020-01-31,Washington,53,1,0,2020-01-21,10
32,2020-02-01,Arizona,4,1,0,2020-01-26,6
33,2020-02-01,California,6,3,0,2020-01-25,7
34,2020-02-01,Illinois,17,2,0,2020-01-24,8
35,2020-02-01,Massachusetts,25,1,0,2020-02-01,0
36,2020-02-01,Washington,53,1,0,2020-01-21,11
37,2020-02-02,Arizona,4,1,0,2020-01-26,7
38,2020-02-02,California,6,6,0,2020-01-25,8
39,2020-02-02,Illinois,17,2,0,2020-01-24,9
40,2020-02-02,Massachusetts,25,1,0,2020-02-01,1
41,2020-02-02,Washington,53,1,0,2020-01-21,12
42,2020-02-03,Arizona,4,1,0,2020-01-26,8
43,2020-02-03,California,6,6,0,2020-01-25,9
44,2020-02-03,Illinois,17,2,0,2020-01-24,10
45,2020-02-03,Massachusetts,25,1,0,2020-02-01,2
46,2020-02-03,Washington,53,1,0,2020-01-21,13
47,2020-02-04,Arizona,4,1,0,2020-01-26,9
48,2020-02-04,California,6,6,0,2020-01-25,10
49,2020-02-04,Illinois,17,2,0,2020-01-24,11
50,2020-02-04,Massachusetts,25,1,0,2020-02-01,3
51,2020-02-04,Washington,53,1,0,2020-01-21,14
52,2020-02-05,Arizona,4,1,0,2020-01-26,10
53,2020-02-05,California,6,6,0,2020-01-25,11
54,2020-02-05,Illinois,17,2,0,2020-01-24,12
55,2020-02-05,Massachusetts,25,1,0,2020-02-01,4
56,2020-02-05,Washington,53,1,0,2020-01-21,15
57,2020-02-05,Wisconsin,55,1,0,2020-02-05,0
58,2020-02-06,Arizona,4,1,0,2020-01-26,11
59,2020-02-06,California,6,6,0,2020-01-25,12
60,2020-02-06,Illinois,17,2,0,2020-01-24,13
61,2020-02-06,Massachusetts,25,1,0,2020-02-01,5
62,2020-02-06,Washington,53,1,0,2020-01-21,16
63,2020-02-06,Wisconsin,55,1,0,2020-02-05,1
64,2020-02-07,Arizona,4,1,0,2020-01-26,12
65,2020-02-07,California,6,6,0,2020-01-25,13
66,2020-02-07,Illinois,17,2,0,2020-01-24,14
67,2020-02-07,Massachusetts,25,1,0,2020-02-01,6
68,2020-02-07,Washington,53,1,0,2020-01-21,17
69,2020-02-07,Wisconsin,55,1,0,2020-02-05,2
70,2020-02-08,Arizona,4,1,0,2020-01-26,13
71,2020-02-08,California,6,6,0,2020-01-25,14
72,2020-02-08,Illinois,17,2,0,2020-01-24,15
73,2020-02-08,Massachusetts,25,1,0,2020-02-01,7
74,2020-02-08,Washington,53,1,0,2020-01-21,18
75,2020-02-08,Wisconsin,55,1,0,2020-02-05,3
76,2020-02-09,Arizona,4,1,0,2020-01-26,14
77,2020-02-09,California,6,6,0,2020-01-25,15
78,2020-02-09,Illinois,17,2,0,2020-01-24,16
79,2020-02-09,Massachusetts,25,1,0,2020-02-01,8
80,2020-02-09,Washington,53,1,0,2020-01-21,19
81,2020-02-09,Wisconsin,55,1,0,2020-02-05,4
82,2020-02-10,Arizona,4,1,0,2020-01-26,15
83,2020-02-10,California,6,7,0,2020-01-25,16
84,2020-02-10,Illinois,17,2,0,2020-01-24,17
85,2020-02-10,Massachusetts,25,1,0,2020-02-01,9
86,2020-02-10,Washington,53,1,0,2020-01-21,20
87,2020-02-10,Wisconsin,55,1,0,2020-02-05,5
88,2020-02-11,Arizona,4,1,0,2020-01-26,16
89,2020-02-11,California,6,7,0,2020-01-25,17
90,2020-02-11,Illinois,17,2,0,2020-01-24,18
91,2020-02-11,Massachusetts,25,1,0,2020-02-01,10
92,2020-02-11,Washington,53,1,0,2020-01-21,21
93,2020-02-11,Wisconsin,55,1,0,2020-02-05,6
94,2020-02-12,Arizona,4,1,0,2020-01-26,17
95,2020-02-12,California,6,7,0,2020-01-25,18
96,2020-02-12,Illinois,17,2,0,2020-01-24,19
97,2020-02-12,Massachusetts,25,1,0,2020-02-01,11
98,2020-02-12,Texas,48,1,0,2020-02-12,0
99,2020-02-12,Washington,53,1,0,2020-01-21,22
100,2020-02-12,Wisconsin,55,1,0,2020-02-05,7
101,2020-02-13,Arizona,4,1,0,2020-01-26,18
102,2020-02-13,California,6,7,0,2020-01-25,19
103,2020-02-13,Illinois,17,2,0,2020-01-24,20
104,2020-02-13,Massachusetts,25,1,0,2020-02-01,12
